participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
sc,sc,48,2605.0420168067226,1530.09,620.97,275.39,214.35500000000002,80.17000000000002,64.61,33.825935483870985,14.508387096774186,8.546967741935477,5,10,25,8,10,8
sc,sc,49,3319.3277310924373,1096.8600000000001,339.05,272.4,85.04999999999998,40.040000000000006,31.005,17.047139240506333,7.308278481012658,6.075113924050629,23,24,24,15,12,15
sc,sc,50,3084.0336134453783,814.0899999999999,420.89,230.84,111.01999999999998,57.955000000000005,35.065,18.398583106267033,8.532561307901906,4.8760081743869215,30,23,23,9,11,8
sc,sc,51,2806.7226890756306,1257.63,403.87,255.48999999999998,219.3,50.32000000000001,50.63,21.89173652694609,8.538802395209585,5.62502994011976,10,12,17,13,10,12
sc,sc,52,2327.731092436975,949.0899999999999,365.78999999999996,265.26,85.23499999999999,41.26,32.504999999999995,18.420126353790618,6.899277978339348,5.3094404332129965,6,14,9,8,7,9
sc,sc,53,3084.0336134453783,500.91999999999996,256.95,205.99,80.35499999999999,30.0,17.759999999999998,12.22587193460491,6.197792915531333,4.328283378746591,15,14,18,6,9,14
sc,sc,54,3084.0336134453783,656.38,287.6,166.26,70.19000000000001,24.720000000000002,36.620000000000005,11.137043596730242,5.026730245231607,3.3344005449591276,9,10,6,10,12,8
sc,sc,55,2714.285714285714,799.38,319.22,244.93,81.025,29.33,27.464999999999996,14.474984520123833,5.5349380804953565,4.611857585139316,10,9,15,11,9,9
sc,sc,56,3000.0,1140.6799999999998,423.27,259.28,293.09,58.135000000000005,45.9,20.033431372549003,7.826820728291312,5.368207282913167,12,11,20,2,6,9
sc,sc,57,2252.1008403361348,708.86,348.93999999999994,242.01,87.525,47.94499999999999,50.72,17.483917910447758,7.44022388059702,4.902276119402987,10,9,16,6,8,4
sc,sc,58,2941.1764705882356,800.1100000000001,316.71,256.96,60.574999999999996,28.685000000000002,26.090000000000003,16.538228571428576,6.587285714285715,5.6838285714285695,10,10,16,10,10,11
sc,sc,59,4764.705882352941,966.86,379.27,219.11,138.855,58.19500000000001,30.059999999999995,13.47494708994709,5.909303350970011,4.249373897707231,20,14,44,16,14,16
sc,sc,60,2403.361344537815,542.54,244.69,163.51,43.42500000000001,35.86,17.639999999999997,11.919597902097907,6.932045454545451,4.359650349650351,6,14,11,9,4,7
