participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
user1_,sc,103,3655.46218487395,852.97,290.9,183.35,99.85499999999999,24.6,19.499999999999996,11.468666666666664,4.597160919540232,3.1728965517241394,17,20,20,13,14,11
user1_,sc,104,3058.823529411765,775.7,295.17,227.42000000000002,83.465,30.025000000000002,19.595000000000002,12.445178571428572,4.753379120879121,3.5617032967032967,14,9,16,11,12,11
user1_,sc,105,2798.3193277310925,752.4399999999999,323.41999999999996,230.89999999999998,71.25500000000001,21.115000000000002,16.54,13.299234234234238,5.518333333333329,3.6879429429429424,12,12,17,7,5,12
user1_,sc,106,2873.949579831933,807.1299999999999,319.09000000000003,223.82000000000002,73.455,43.795,21.335000000000008,13.699254385964922,5.96233918128655,3.6693567251461996,20,19,16,14,7,8
user1_,sc,107,3067.2268907563025,911.86,361.27,239.01,68.97,36.00999999999999,22.339999999999996,14.007835616438355,5.66104109589041,3.7522191780821923,6,10,15,14,11,13
user1_,sc,108,2436.9747899159665,1236.0900000000001,441.71000000000004,226.5,112.69999999999999,56.945,22.37,19.996862068965516,7.847155172413795,5.196344827586208,9,12,13,8,10,10
user1_,sc,109,2428.571428571429,1053.59,387.33000000000004,191.96,116.06,49.650000000000006,23.740000000000002,19.05764705882352,8.068373702422152,4.612491349480966,13,9,11,12,10,8
user1_,sc,110,2621.8487394957983,1084.77,408.63,264.71,106.16999999999999,49.01500000000001,28.289999999999992,18.961298076923068,7.232516025641025,5.182435897435898,13,11,16,12,10,9
user1_,sc,111,2546.218487394958,1051.81,368.59000000000003,216.79999999999998,182.31,31.79500000000001,32.475,18.274735973597362,6.833184818481843,4.23075907590759,10,11,13,10,11,10
user1_,sc,112,2495.7983193277314,910.9499999999999,331.54,280.64,76.47500000000001,45.379999999999995,32.775,17.51047138047137,6.733888888888892,4.903030303030306,7,9,11,8,3,5
user1_,sc,113,3126.0504201680674,899.78,373.35,259.4,146.18,50.13999999999999,35.92,17.05454301075268,6.690793010752689,4.453266129032257,13,16,17,13,6,15
user1_,sc,114,2596.638655462185,887.21,363.95,266.9,124.785,36.195,47.05999999999999,16.492119741100332,6.259110032362461,4.740631067961166,15,14,16,9,9,9
user1_,sc,115,2462.18487394958,917.24,302.12,275.21,146.885,37.475,42.47999999999999,15.565238907849826,5.921348122866893,4.4404436860068275,7,6,12,9,8,7
user1_,sc,116,2445.378151260504,1010.99,394.84000000000003,231.14000000000004,95.975,40.709999999999994,27.590000000000003,18.481134020618555,8.045876288659791,4.765326460481101,9,12,11,11,10,8
user1_,sc,117,2563.025210084034,981.08,398.69,239.62,122.83000000000001,39.12499999999999,23.224999999999998,19.121131147540975,7.372098360655738,4.830360655737706,10,13,16,9,10,9
user1_,sc,118,2268.90756302521,1058.23,378.36,296.39,102.845,39.34,31.155,19.570555555555572,7.8795555555555525,5.201777777777778,8,8,7,12,11,10
user1_,sc,119,2495.7983193277314,1138.1799999999998,445.37,238.4,121.06000000000002,48.400000000000006,24.660000000000007,20.830336700336712,8.120454545454546,4.786515151515155,11,10,7,8,4,9
user1_,sc,120,2899.1596638655465,808.29,276.66999999999996,188.05,90.33000000000001,28.505000000000003,22.705000000000005,14.086681159420293,5.744275362318839,3.8632608695652175,11,15,18,12,14,12
user1_,sc,121,7470.588235294118,928.8399999999999,472.6,197.63,216.615,76.53500000000001,38.36,12.264887514060742,5.597694038245221,3.3066254218222735,41,44,47,27,17,26
user1_,sc,122,3436.9747899159665,893.74,314.09000000000003,226.19,153.07999999999998,52.459999999999994,40.315000000000005,13.840330073349632,5.3721026894865505,3.731784841075793,23,14,17,11,9,12
user1_,sc,123,3142.857142857143,895.69,314.76,267.27,114.81000000000002,54.870000000000005,30.155,17.464104278074885,6.012045454545456,4.653502673796792,10,18,16,13,8,10
user1_,sc,124,2554.621848739496,1011.72,425.10999999999996,241.69000000000003,83.94999999999999,32.255,28.715000000000003,18.817631578947363,7.826101973684207,5.222253289473685,8,6,10,11,4,11
user1_,sc,125,2941.1764705882356,1061.83,380.5,219.79000000000002,125.065,36.254999999999995,35.0,15.750799999999995,6.1819428571428565,4.045771428571428,13,12,20,5,9,14
user1_,sc,126,2806.7226890756306,1257.63,403.87,255.48999999999998,219.3,50.32000000000001,50.63,21.89173652694609,8.538802395209585,5.62502994011976,10,12,17,13,10,12
user1_,sc,127,2327.731092436975,949.0899999999999,365.78999999999996,265.26,85.23499999999999,41.26,32.504999999999995,18.420126353790618,6.899277978339348,5.3094404332129965,6,14,9,8,7,9
user1_,sc,128,3084.0336134453783,656.38,287.6,166.26,70.19000000000001,24.720000000000002,36.620000000000005,11.137043596730242,5.026730245231607,3.3344005449591276,9,10,6,10,12,8
user1_,sc,129,2714.285714285714,799.38,319.22,244.93,81.025,29.33,27.464999999999996,14.474984520123833,5.5349380804953565,4.611857585139316,10,9,15,11,9,9
user1_,sc,130,3000.0,1140.6799999999998,423.27,259.28,293.09,58.135000000000005,45.9,20.033431372549003,7.826820728291312,5.368207282913167,12,11,20,2,6,9
user1_,sc,131,2252.1008403361348,708.86,348.93999999999994,242.01,87.525,47.94499999999999,50.72,17.483917910447758,7.44022388059702,4.902276119402987,10,9,16,6,8,4
user1_,sc,132,2941.1764705882356,800.1100000000001,316.71,256.96,60.574999999999996,28.685000000000002,26.090000000000003,16.538228571428576,6.587285714285715,5.6838285714285695,10,10,16,10,10,11
